Te	124.904434	7.12
Te	123.902824	4.79
Te	122.904274	0.905
Te	121.90305	2.59
Te	119.904045	0.095
Te	129.90623	33.87
Te	127.904465	31.7
Th	232.03806	100
Ti	46.951763	7.3
Ti	45.95263	8
Ti	49.944794	5.4
Ti	48.947872	5.5
Ti	47.94795	73.8
TI	204.9744	70.476
TI	202.97232	29.524
Tm	168.93422	100
V	50.943962	99.75
V	49.947163	0.25
W	185.95436	28.6
W	183.95093	30.7
W	182.95023	14.28
W	181.9482	26.3
W	179.9467	0.12
Yb	173.93886	31.8
Yb	172.9382	16.12
Yb	171.93637	21.9
Yb	170.93633	14.3
Yb	169.93475	3.05
Yb	167.9339	0.13
Yb	175.94257	12.7
Zn	69.92532	0.6
Zn	67.92484	18.8
Zn	66.92713	4.1
Zn	65.92603	27.9
Zn	63.929146	48.6
Zr	93.90647	17.38
Zr	91.90504	17.15
Zr	90.90565	11.22
Zr	89.9047	51.45
Zr 	95.90827	2.8
